#Timestamp,x,y
0,0.287403,0.351373
1,0.283435,0.352429
2,0.283528,0.351985
3,0.28351,0.347594
4,0.28753,0.347751
5,0.283576,0.349048
6,0.281281,0.347117
7,0.283638,0.350977
8,0.282881,0.353249
9,0.284941,0.353001
10,0.282014,0.34911
11,0.281318,0.352913
12,0.28377,0.353582
13,0.282881,0.353857
14,0.283705,0.355739
15,0.279843,0.354505
16,0.282671,0.350865
17,0.280092,0.354017
18,0.274772,0.355483
19,0.278767,0.355249
20,0.27856,0.358407
21,0.275683,0.360231
22,0.279831,0.35937
23,0.279238,0.357565
24,0.275979,0.359728
25,0.276383,0.357495
26,0.274699,0.361718
27,0.274913,0.362032
28,0.275788,0.363841
29,0.27144,0.366536
30,0.27468,0.359337
31,0.27151,0.36381
32,0.276483,0.360665
33,0.274458,0.361336
34,0.276543,0.35948
35,0.277187,0.360817
36,0.276565,0.362325
37,0.275949,0.359002
38,0.278529,0.357644
39,0.273912,0.361603
40,0.269728,0.367118
41,0.274118,0.364654
42,0.273964,0.361866
43,0.27794,0.362814
44,0.268547,0.372146
45,0.274538,0.367817
46,0.272101,0.367394
